Day No.,Morning,Exercise,Afternoon,Lunch,Fruits,Evening,Dinner,Exercise,Water Target,Calories
1,Idli,Yoga,Dal Tadka,Roti,Apple,Vegetable Pulao,Raita,Cycling,2500,1800
2,Poha,Running,Veg Biryani,Vegetable Salad,Banana,Paneer Tikka,Mixed Dal,Jogging,2400,1900
3,Upma,Swimming,Chapati,Palak Paneer,Orange,Chole,Jeera Rice,Weight Training,2300,1700
4,Dosa,Cycling,Dal Makhani,Vegetable Pulao,Grapes,Aloo Gobi,Roti,Running,2600,2000
5,Paratha,Weight Training,Veg Pulao,Mixed Dal,Pear,Baingan Bharta,Chapati,Swimming,2500,1900
6,Idli,Jogging,Dal Tadka,Palak Paneer,Apple,Paneer Tikka,Roti,Yoga,2400,1800
7,Poha,Running,Chapati,Chole,Banana,Alu Methi,Jeera Rice,Cycling,2300,1700
8,Upma,Swimming,Veg Biryani,Vegetable Salad,Orange,Kadhai Paneer,Roti,Weight Training,2600,2000
9,Dosa,Cycling,Dal Makhani,Jeera Rice,Grapes,Palak Paneer,Chapati,Jogging,2500,1900
10,Paratha,Weight Training,Veg Pulao,Mixed Dal,Pear,Paneer Bhurji,Chapati,Swimming,2400,1800
