Day No.,Morning,Exercise,Afternoon,Lunch,Fruits,Evening,Dinner,Exercise,Water Target,Calories
1,Idli,Yoga,Dal Makhani,Roti,Apple,Paneer Tikka,Rice,Cycling,2500,2800
2,Poha,Running,Veg Biryani,Vegetable Salad,Banana,Aloo Gobi,Chapati,Jogging,2400,2900
3,Upma,Swimming,Chapati,Palak Paneer,Orange,Chole,Jeera Rice,Weight Training,2300,2700
4,Dosa,Cycling,Dal Makhani,Vegetable Pulao,Grapes,Paneer Bhurji,Chapati,Running,2600,3000
5,Paratha,Weight Training,Veg Pulao,Mixed Dal,Pear,Baingan Bharta,Chapati,Swimming,2500,2800
6,Idli,Jogging,Dal Tadka,Palak Paneer,Apple,Paneer Tikka,Rice,Yoga,2400,2700
7,Poha,Running,Chapati,Chole,Banana,Alu Methi,Jeera Rice,Cycling,2300,2600
8,Upma,Swimming,Veg Biryani,Vegetable Salad,Orange,Kadhai Paneer,Roti,Weight Training,2600,3000
9,Dosa,Cycling,Dal Makhani,Jeera Rice,Grapes,Palak Paneer,Chapati,Jogging,2500,2800
10,Paratha,Weight Training,Veg Pulao,Mixed Dal,Pear,Paneer Bhurji,Chapati,Swimming,2400,2700
