Day No.,Morning,Exercise,Afternoon,Lunch,Fruits,Evening,Dinner,Exercise,Water Target,Calories
1,Idli,Yoga,Dal Tadka,Roti,Apple,Vegetable Pulao,Raita,Cycling,2600,2200
2,Poha,Running,Veg Biryani,Vegetable Salad,Banana,Paneer Tikka,Mixed Dal,Jogging,2700,2300
3,Upma,Swimming,Chapati,Palak Paneer,Orange,Chole,Jeera Rice,Weight Training,3000,2100
4,Dosa,Cycling,Dal Makhani,Vegetable Pulao,Grapes,Aloo Gobi,Roti,Running,2400,2400
5,Paratha,Weight Training,Veg Pulao,Mixed Dal,Pear,Baingan Bharta,Chapati,Swimming,2500,2200
6,Idli,Jogging,Dal Tadka,Palak Paneer,Apple,Paneer Tikka,Roti,Yoga,2700,2100
7,Poha,Running,Chapati,Chole,Banana,Alu Methi,Jeera Rice,Cycling,3000,2000
8,Upma,Swimming,Veg Biryani,Vegetable Salad,Orange,Kadhai Paneer,Roti,Weight Training,2800,2300
9,Dosa,Cycling,Dal Makhani,Jeera Rice,Grapes,Palak Paneer,Chapati,Jogging,2700,2200
10,Paratha,Weight Training,Veg Pulao,Mixed Dal,Pear,Paneer Bhurji,Chapati,Swimming,2900,2100
